code,ticker_code,name,market_product_category,source_date
2769,2769.T,ヴィレッジヴァンガードコーポレーション,スタンダード（内国株式）,2026-02-28
2776,2776.T,新都ホールディングス,スタンダード（内国株式）,2026-02-28
2778,2778.T,パレモ・ホールディングス,スタンダード（内国株式）,2026-02-28
2780,2780.T,コメ兵ホールディングス,スタンダード（内国株式）,2026-02-28
2782,2782.T,セリア,スタンダード（内国株式）,2026-02-28
2784,2784.T,アルフレッサ ホールディングス,プライム（内国株式）,2026-02-28
2788,2788.T,アップルインターナショナル,スタンダード（内国株式）,2026-02-28
2789,2789.T,カルラ,スタンダード（内国株式）,2026-02-28
2790,2790.T,ナフコ,スタンダード（内国株式）,2026-02-28
2791,2791.T,大黒天物産,プライム（内国株式）,2026-02-28
2792,2792.T,ハニーズホールディングス,プライム（内国株式）,2026-02-28
